Index, Target, Period, P Error, Width1, D1 Error, Width2, D2 Error, Depth1, A1 Error, Depth2, A2 Error
344,TIC 332277332,0.39308635253906254,0.000303030303030305,0.12732940891154937,0.0019262596339417167,0.12862099163605012,0.001924801090328996,0.34291176616305563,0.0030440018021164485,0.3545011111001612,0.0031167603961291565
357,TIC 426803687,1.4749999999999999,0.0059595959595959425,0.2575710619757647,0.0006890083705177042,0.2519569948239548,0.000806294693426383,0.49414883317257385,0.0005312913568480698,0.47894992352096244,0.0005430400388040433
395,TIC 441687696,2.2253259277343753,0.009999999999999787,0.11770692681011591,0.00032300105198349445,0.11787839748732365,0.00033318712069512385,0.3435965314896434,0.00045132680077692236,0.3304301625272689,0.00045628832703373636
418,TIC 429044383,2.372884130859375,0.009999999999999787,0.05021787975213395,0.00016420325829246324,0.05311251312326022,0.0001926469360149901,0.46235599969210045,0.0006746585229862557,0.4340321827131474,0.0007098378090452161
436,TIC 273173532,3.0278521484375,0.009999999999999787,0.21559722809122214,0.001960450135587531,0.18530846591665565,0.0020550442731913344,0.3462327470479817,0.0011087968012468276,0.3262466027941447,0.0010699667077135233
438,TIC 236046394,3.0009511230468755,0.009999999999999787,0.10684083767942519,0.0015354522341918606,0.09190390979588246,0.016349633975502344,0.4554867493800234,0.003085959961734994,0.44756019256137697,0.006073913914229104
440,TIC 441690583,5.646724267578126,0.009999999999999787,0.04471745175985187,0.0001232665212756528,0.0420345979155788,0.00011375974245714024,0.38139112553006527,0.0004951147789747291,0.35995325918382104,0.0004705925986884566
445,TIC 252668569,0.9259095703125,0.010000000000000009,0.14996585807957274,0.00038536692528016986,0.15251988493414415,0.000386928258102203,0.3634124707317458,0.000447724832025433,0.3614186847646905,0.00043472864969277495
473,TIC 173419202,1.8759083984374998,0.010000000000000009,0.1686209215614432,0.00034913481707010235,0.1708610681830985,0.0004053882271165532,0.34627507832395454,0.00032285345894088514,0.3319843021581632,0.00035225923382740585
475,TIC 325901255,3.074849853515625,0.009999999999999787,0.0845688144150245,0.00015188218229152155,0.08419183877734379,0.00014939117176538625,0.42233034642938794,0.0003495017792583601,0.43188611320106135,0.0003518792141930405
490,TIC 322390461,0.386976231765747,0.00010101010101010166,0.3754088928872992,0.02410895578183763,0.38769549019079347,0.022604742469605095,0.6506886245660013,0.011262412214623584,0.6173508586868675,0.010001072805117363
506,TIC 288434781,6.333463842773437,0.009999999999999787,0.03671112823800558,5.084089720831776e-05,0.037860540107503365,7.430802503388957e-05,0.5036957823170466,0.000293764895842604,0.4688843316234568,0.00041209951563744715
514,TIC 173797509,4.279000000000001,0.009999999999999787,0.03643967556055629,8.850342267630622e-05,0.03779886773452951,8.554372636538874e-05,0.39864237183755585,0.00047027963060832406,0.3681691807466084,0.00038665701925981883
532,TIC 343553606,0.8053586730957032,0.002525252525252486,0.2755226043678936,0.002810049585135412,0.2926603870084656,0.004781224650836145,0.3687365295935594,0.0019544385781867725,0.345020606549482,0.0020280972572140525
559,TIC 329770815,3.870094482421875,0.009999999999999787,0.058792486256736595,8.62031431967154e-05,0.05893230006868383,8.399890325963673e-05,0.36952794233019287,0.00026317438523307734,0.3558105956867096,0.0002520796509347065
575,TIC 343667351,1.5440947265625,0.010000000000000009,0.15480385433271385,0.001458915762801233,0.15498154557543922,0.0011061267523058704,0.3926116178941484,0.0013336201133717718,0.3660847951569079,0.0013344244227218318
581,TIC 310169616,0.41188935546875005,0.0007070707070707116,0.28350758215325517,0.0025400714948046917,0.2832807623818532,0.0024569124274957735,0.35057072875250295,0.0015109966161765515,0.34418867203660236,0.0015116439535828442
