Index Target Period Width1 Width2 Depth1 Depth2
86 TIC 458859193 2.3008876464843753 0.15931422723783045 0.15762804647627573 0.006070586168680425 0.0048632181797883065
87 TIC 391643922 4.9098987304687505 0.4382076136956936 0.38447955524696487 0.002818094079553514 0.0022694942063973466
88 TIC 151826930 2.6950657958984374 0.08213725060995662 0.09456727162156717 0.015225476444824783 0.010847064905559027
89 TIC 141606986 0.3439496093750001 0.35610911658640576 0.4625206357217997 0.5468412612034457 0.8192574581470538
90 TIC 260161144 2.2340545410156247 0.08105790647199618 0.08126281125919733 0.3730926379629843 0.2922461886619762
91 TIC 355152640 11.053325317382814 0.04668378208824478 0.03983825999862324 0.30837799579497926 2.2741736407777854e-05
92 TIC 22390773 11.302517468261719 0.01842828742474336 0.02487039256081692 0.4237758285914219 0.24564409763456013
93 TIC 279569718 3.9790971435546876 0.054508682299360206 0.01780199521615021 0.01623713081333289 0.00027184609524306117
94 TIC 454013359 10.29718289794922 0.01920490923255485 0.01869809652372295 0.04469076954719589 0.042657105558784894
95 TIC 176937887 0.6571283203125 0.10964330786346842 0.4999999986285982 0.03439172160378679 0.05161229064832074
96 TIC 349832824 1.04089833984375 0.11372459106277114 0.10150207041911155 0.17487931098172854 0.039976374925681596
97 TIC 294261093 2.659908837890625 0.1384052987583378 0.12654369074581448 0.011425143276081401 0.011057853165378372
98 TIC 391927558 0.5429850860595703 0.23008136950887934 0.2541602187640699 0.3558643571955705 0.17322899398286631
99 TIC 350518984 11.818999999999999 0.014422565313971396 0.0038003841625809187 0.03910176136930001 8.141043533511982e-11
100 TIC 293109489 2.5302470703125 0.10157048196730539 0.10218311273370562 0.00547358112371352 0.004932266130226558
101 TIC 350478924 0.4378716796875 0.42661872536331985 0.30505275017622435 0.23255208050906678 0.1661066665467869
102 TIC 423530755 9.368942816162109 0.01253497396341179 0.012563564888529352 0.07265283634007567 0.07264394301654269
103 TIC 294273900 0.4720230468750001 0.3444677056651606 0.3536228499749583 0.35557083936892575 0.3351453124364904
104 TIC 309659126 0.24806357421875 0.4268297972412219 0.41386489983103386 0.11127591704150899 0.09479496620479015
