Index, Target, Period, P Error, Width1, D1 Error, Width2, D2 Error, Depth1, A1 Error, Depth2, A2 Error
270,TIC 350622185,1.1697135009765625,0.010000000000000009,0.14054430738794288,0.0013382862108141655,0.1345004227176103,0.0021309355909341437,0.3201425015006452,0.001560204714161422,0.3234669023805279,0.0018648228398077237
287,TIC 118313102,9.261643115234374,0.009999999999999787,0.03642864101139644,0.00013099049254864208,0.04444340986785428,0.00015521825878606247,0.48173566169148324,0.0007697247837830678,0.4689506972288473,0.000714148674949536
291,TIC 141914317,0.43687830734252936,0.0007070707070707116,0.2822641558194885,0.0058571704096607455,0.27841139175764595,0.003675585531555848,0.2585702148432207,0.001875541524454786,0.24758012282545971,0.0016211325639707871
298,TIC 141268467,4.181051037597657,0.009999999999999787,0.056808356809153596,6.347148637982566e-05,0.05572874919786752,6.609171566988505e-05,0.4969324537164644,0.00022174371086979862,0.46763964231174754,0.00023042570364511158
300,TIC 89787778,1.0821584960937498,0.010000000000000009,0.2765712116842973,0.001215710724686402,0.27121303019927556,0.0012482998427384873,0.511164538297666,0.0008631561090140609,0.5094613139691103,0.0008196557916183866
340,TIC 374859582,1.3049840698242186,0.0017171717171717837,0.14038808674309877,0.000156243559983651,0.14083396908405096,0.00015339343358551267,0.48343122395157523,0.0002286600009590515,0.474902165129298,0.0002222617163971162
376,TIC 312907176,1.51596298828125,0.002525252525252597,0.14410308749641104,0.0004477405644041778,0.14197915080092577,0.0004657181343196393,0.5787025275770066,0.0008734779846554566,0.5569249821746728,0.000887872290422415
379,TIC 405533713,0.2799931640625,0.010000000000000009,0.29759788705915036,0.0024008495331746373,0.2904418772036642,0.0026512972060839433,0.21570957662828516,0.000819372008740877,0.18105885700024554,0.0008063942722006185
435,TIC 418532689,0.38081396484374996,0.000303030303030305,0.24348498857949097,0.002511413350965787,0.2857297183767685,0.0036016665077656354,0.2647980185754669,0.0017175061191805068,0.26177343792675123,0.0016736685723325042
493,TIC 260541250,0.33598359375,0.00010101010101010166,0.28018178854331854,0.0020584984209309157,0.27065317373043357,0.0019143230916222492,0.2688387965440835,0.0010537399109302075,0.26013072397014037,0.0010280691699190133
509,TIC 75969405,9.221774853515626,0.009999999999999787,0.02294906962954115,0.0006550368481385461,0.022924570033574555,0.0006508457859572259,0.44079071757011934,0.005646516737534057,0.43993741236587386,0.005604522477494424
618,TIC 306272819,2.546,0.009999999999999787,0.07094497414817352,6.81877102254679e-05,0.06978544120049276,7.061830922438154e-05,0.40047251720528454,0.00017488355646684304,0.3879406022216968,0.00018372889207612537
676,TIC 290410988,0.28597207031250005,0.00010101010101010166,0.3013665205430093,0.002273213688244503,0.2761614672177114,0.002232147898918046,0.3677538831975335,0.001242049340512573,0.35120411814456626,0.0012956202115336666
790,TIC 90911675,3.962806494140625,0.009999999999999787,0.07958397119839267,0.00015963406146925625,0.07946327197034386,0.00017286478034150385,0.4871525194448719,0.0004574192657595207,0.4501325695179754,0.0004516909836958439
816,TIC 211215485,1.7010830566406248,0.010000000000000009,0.15826302465535186,0.0005788934283326145,0.16260124714737745,0.0006998190292719494,0.31289393709736196,0.0005415239568474859,0.29459494354275534,0.0005774838006276536
853,TIC 320173862,0.396053173828125,0.00010101010101010166,0.12200245671430154,0.0009137375710319821,0.12286974713465892,0.000926405728954559,0.35988498530177876,0.0013582440457551687,0.36235547240031984,0.0013756701170879947
871,TIC 121273032,3.4751696777343755,0.009999999999999787,0.060429029085383223,8.427649708597068e-05,0.06045005134054331,8.420574805345525e-05,0.3427396270812058,0.00023291942442394165,0.34114380923732607,0.00023197929180270726
875,TIC 120499528,0.36903603515625,0.000303030303030305,0.29448122841591373,0.0023543007571581475,0.2852916296334589,0.002409284815246424,0.3050182998381032,0.0011921804622133,0.29538869455322414,0.0012130038376508008
894,TIC 27843942,1.5219628417968751,0.0029292929292930037,0.07448728378736216,0.0001333986278854326,0.07631411102676329,0.00014077114600466957,0.3841810399901196,0.00031116260389338845,0.3639505372187419,0.0003134365764101903
907,TIC 272176884,0.835122314453125,0.0017171717171716727,0.29013122596678786,0.0017761539181976255,0.2881101106047078,0.0019329350830060192,0.330482373392703,0.0009304958278228675,0.2930710868770697,0.0009175431582005905
908,TIC 281948821,0.22405416412353518,0.00010101010101010166,0.13925813299440798,0.007300519895351794,0.1900980760712359,0.0045077668552745715,0.4948146182926998,0.00877569931067,0.5352148864166173,0.009070034530803244
929,TIC 266920154,4.708057470703125,0.009999999999999787,0.07069843226161232,4.2904036921538765e-05,0.06856536350507925,4.6821016278484126e-05,0.4078224715917631,0.00010935077248541038,0.3854901841085827,0.00012112922585957136
930,TIC 138971570,3.0039266601562504,0.009999999999999787,0.08360524548217406,5.7674260326531975e-05,0.08368423910209111,6.149373577043141e-05,0.42893367126931076,0.00013020200125063276,0.419415615715403,0.00013768425660083753
933,TIC 122375269,3.7836304687499998,0.009999999999999787,0.08743794626196064,0.00031407265962643863,0.08779772028963007,0.0002976528588309318,0.6268246070802138,0.0009339394271886327,0.627068481176981,0.0009257556160518504
939,TIC 263930790,1.1233290039062498,0.010000000000000009,0.22387594240094275,0.0012403015341242022,0.2230274836188063,0.00117124359771666,0.2782375710029085,0.0007849529210311537,0.25424798306871516,0.000701258605283851
944,TIC 274347939,9.705355407714844,0.009999999999999787,0.02327521226163865,0.00030613874331680065,0.02390667394665015,0.0003140389305599309,0.44595522921717534,0.0028011332096779334,0.44500092077250597,0.0027716212302612096
965,TIC 424719589,15.28272015991211,0.009999999999999787,0.010233630269850932,0.00013425160714131002,0.01027854730711861,0.0001900567343314427,0.38599099900330913,0.0022592112376243114,0.38754318058043635,0.0031916312438916837
981,TIC 270704947,5.319740234375001,0.009999999999999787,0.0536056828691086,0.000355625622590812,0.05309812184676317,0.0003516243090453243,0.41628062422362083,0.00139917172214601,0.41265885242530703,0.0013910998510359806
986,TIC 120684604,1.459857421875,0.010000000000000009,0.14334565789379086,0.0021767847027307527,0.13930225720716166,0.0022789047047321012,0.33339786238695485,0.002247709725519008,0.3140200023429954,0.0023402842219333807
988,TIC 243319567,0.4391018188476562,0.0005050505050505083,0.29351762969841944,0.0023309534106224364,0.28703003157951423,0.003136487038961753,0.34467889274069236,0.0012916039160587264,0.3399230043129667,0.0013171893155590956
990,TIC 427041696,4.00580439453125,0.009999999999999787,0.08407240093044756,0.00014825579709130135,0.0862488031735363,0.00017982956296582752,0.4652838931275067,0.0003409374526129013,0.4547160835321571,0.0004019633522902536
991,TIC 237130278,0.4130100830078125,0.010000000000000009,0.287115682608066,0.0031078380282949574,0.2837004208924714,0.003272933407818174,0.18194506839061478,0.0010596470267659696,0.15874646245755714,0.0010132226507782026
997,TIC 199420503,2.386,0.009999999999999787,0.10486791964956478,0.00014958280171880435,0.10626340958907082,0.00014440042059789303,0.3954783895027553,0.00025825488729675,0.36777903504954657,0.00022896861096407005
1004,TIC 121213501,0.47401157226562507,0.0007070707070707116,0.28735010208524353,0.0028888015379842902,0.3385982067507829,0.0014514854842523368,0.2530538382524917,0.0013222670207937563,0.19701597303608637,0.0011866478412492078
